"list1_link","list1_selection1_name","list1_selection1_selection2","list1_selection1_selection2_url"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.02 Algoritmos y Programación III
(+)","(+)","https://cms.fi.uba.ar/uploads/9502_b028efc3f1.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.03 Sistemas Operativos
(+)","(+)","https://cms.fi.uba.ar/uploads/9503_eb5d5ae0ac.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.04 Análisis Numérico I
(+)","(+)","https://cms.fi.uba.ar/uploads/9504_af9ba8f707.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.05 Base de Datos
(+)","(+)","https://cms.fi.uba.ar/uploads/9505_891af94494.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.06 Teoría de Algoritmos I
(+)","(+)","https://cms.fi.uba.ar/uploads/9506_4d2b04f1af.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.07 Teoría del Lenguaje
(+)","(+)","https://cms.fi.uba.ar/uploads/9507_d3ab8951ab.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.08 Taller de Programación I
(+)","(+)","https://cms.fi.uba.ar/uploads/9508_fbe47035bb.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.09 Técnicas de Programación Concurrente I
(+)","(+)","https://cms.fi.uba.ar/uploads/9509_90df992147.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.10 Modelación Numérica
(+)","(+)","https://cms.fi.uba.ar/uploads/9510_70eba3d6f0.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.11 Algoritmos y Programación I
(+)","(+)","https://cms.fi.uba.ar/uploads/9511_acd63357bd.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.12 Algoritmos y Programación II
(+)","(+)","https://cms.fi.uba.ar/uploads/9512_2b11a270b1.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.13 Métodos Matemáticos y Numéricos
(+)","(+)","https://cms.fi.uba.ar/uploads/9513_0c615d0dd7.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.14 Algoritmos y Programación I
(+)","(+)","http://www.fi.uba.ar/sites/default/files/9514.pdf%20style=line-height:%2020.7999992370605px;"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.14-1064 Algoritmos y Programación I_ Wachenchauzer
(+)","(+)","http://www.fi.uba.ar/sites/default/files/9514-1064.pdf%20style=line-height:%2020.7999992370605px;"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.15 Algoritmos y Programación II_Wachenchauzer
(+)","(+)","http://www.fi.uba.ar/sites/default/files/9515.pdf%20style=line-height:%2020.7999992370605px;"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.15- 1062 Algoritmos y Programación II_Calvo
(+)","(+)","http://www.fi.uba.ar/sites/default/files/9515-1062.pdf%20style=line-height:%2020.8px;"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.15- 1063 Algoritmos y Programación II_Carolo
(+)","(+)","http://www.fi.uba.ar/sites/default/files/9515-1063.pdf%20style=line-height:%2020.8px;"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.19 Simulación
(+)","(+)","http://www.fi.uba.ar/sites/default/files/9519.pdf%20style=line-height:%2020.8px;"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.20 Métodos y Modelos en la Ingeniería del Software I
(+)","(+)","http://www.fi.uba.ar/sites/default/files/9520.pdf%20style=line-height:%2020.7999992370605px;"
